plotID,siteID,eventID,year,plotType,totalSampledAreaTrees,n_tree_stems,n_mapped,frac_stems_unmapped,coverage_ok,agb_mg_ha
DEJU_021,DEJU,vst_DEJU_2023,2023,distributed,400.0,32,32,0.0,True,16.78545258175701
DEJU_023,DEJU,vst_DEJU_2016,2016,distributed,400.0,27,27,0.0,True,16.079603116276527
DEJU_023,DEJU,vst_DEJU_2019,2019,distributed,400.0,29,29,0.0,True,16.990466593326573
DEJU_024,DEJU,vst_DEJU_2016,2016,distributed,400.0,43,43,0.0,True,12.252512678099313
DEJU_024,DEJU,vst_DEJU_2019,2019,distributed,400.0,51,51,0.0,True,12.968039542950837
DEJU_045,DEJU,vst_DEJU_2015,2015,tower,800.0,13,13,0.0,True,3.1488918428130437
DEJU_045,DEJU,vst_DEJU_2016,2016,tower,800.0,21,21,0.0,True,4.444972986984314
DEJU_045,DEJU,vst_DEJU_2021,2021,tower,800.0,26,26,0.0,True,5.492797588920604
DEJU_046,DEJU,vst_DEJU_2015,2015,tower,800.0,29,29,0.0,True,15.597881610456446
DEJU_046,DEJU,vst_DEJU_2016,2016,tower,800.0,26,26,0.0,True,14.028235927174872
DEJU_046,DEJU,vst_DEJU_2020,2020,tower,800.0,27,27,0.0,True,14.49224542277574
DEJU_046,DEJU,vst_DEJU_2021,2021,tower,800.0,29,29,0.0,True,15.380934343051816
DEJU_046,DEJU,vst_DEJU_2022,2022,tower,800.0,28,28,0.0,True,15.71670848296339
DEJU_046,DEJU,vst_DEJU_2023,2023,tower,800.0,27,27,0.0,True,15.554791922494218
DEJU_046,DEJU,vst_DEJU_2024,2024,tower,800.0,29,29,0.0,True,16.632969163181187
DEJU_046,DEJU,vst_DEJU_2025,2025,tower,800.0,29,29,0.0,True,16.849666381801956
DEJU_047,DEJU,vst_DEJU_2015,2015,tower,800.0,107,107,0.0,True,59.17284830636578
DEJU_047,DEJU,vst_DEJU_2016,2016,tower,800.0,95,95,0.0,True,50.76469023785077
DEJU_047,DEJU,vst_DEJU_2020,2020,tower,800.0,103,103,0.0,True,56.25579288219059
DEJU_047,DEJU,vst_DEJU_2021,2021,tower,800.0,108,108,0.0,True,58.52900149897698
DEJU_047,DEJU,vst_DEJU_2022,2022,tower,800.0,106,106,0.0,True,57.411593813337646
DEJU_047,DEJU,vst_DEJU_2023,2023,tower,800.0,104,104,0.0,True,54.892854328988925
DEJU_047,DEJU,vst_DEJU_2024,2024,tower,800.0,113,113,0.0,True,63.167954094693
DEJU_047,DEJU,vst_DEJU_2025,2025,tower,800.0,118,118,0.0,True,64.7945768485786
DEJU_048,DEJU,vst_DEJU_2015,2015,tower,800.0,71,71,0.0,True,24.15566695899354
DEJU_048,DEJU,vst_DEJU_2016,2016,tower,800.0,64,64,0.0,True,21.053995473980784
DEJU_048,DEJU,vst_DEJU_2020,2020,tower,800.0,61,61,0.0,True,21.34525380500319
DEJU_048,DEJU,vst_DEJU_2021,2021,tower,800.0,56,56,0.0,True,20.613476223386016
DEJU_048,DEJU,vst_DEJU_2022,2022,tower,800.0,56,56,0.0,True,19.780678555331644
DEJU_048,DEJU,vst_DEJU_2023,2023,tower,800.0,56,56,0.0,True,20.64691372837374
DEJU_048,DEJU,vst_DEJU_2024,2024,tower,800.0,65,65,0.0,True,24.51006992839682
DEJU_048,DEJU,vst_DEJU_2025,2025,tower,800.0,65,65,0.0,True,23.968735538824593
DEJU_049,DEJU,vst_DEJU_2015,2015,tower,800.0,27,27,0.0,True,17.17973423757272
DEJU_049,DEJU,vst_DEJU_2016,2016,tower,800.0,27,27,0.0,True,17.039047447666793
DEJU_049,DEJU,vst_DEJU_2020,2020,tower,800.0,26,26,0.0,True,16.696096837127318
DEJU_049,DEJU,vst_DEJU_2021,2021,tower,800.0,31,31,0.0,True,19.559647726503066
DEJU_049,DEJU,vst_DEJU_2022,2022,tower,800.0,30,30,0.0,True,19.07450868189084
DEJU_049,DEJU,vst_DEJU_2023,2023,tower,800.0,35,35,0.0,True,21.85740436813994
DEJU_049,DEJU,vst_DEJU_2024,2024,tower,800.0,37,37,0.0,True,22.39419636774787
DEJU_049,DEJU,vst_DEJU_2025,2025,tower,800.0,34,34,0.0,True,20.330083834861423
